TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Creighton,MVC,0.6875,106.4,95.6,.7733,51.6,48,21.2,22.8,32.5,31.7,33.3,36.7,49.8,45.2,36.2,35.6,67.9,-0.3,2008
South_Alabama,SB,0.8387096774193549,110.5,99.5,.7686,53.9,48.4,20.6,20.4,37.9,30.5,46,31,53.3,47.3,36.8,33.5,66.7,-0.3,2008
Utah,MWC,0.5625,109.1,98.4,.7671,53.8,47.8,19.6,18.1,26.9,25,31.1,40.4,51.4,44.8,38.8,35.7,64.3,-4.2,2008
Alabama,SEC,0.5151515151515151,109.5,99.1,.7600,51.4,50.2,18.5,20.2,36.5,31.9,33.5,33.9,50,48.3,36.3,35.5,68.6,-4.5,2008
Rhode_Island,A10,0.6363636363636364,113.2,102.5,.7580,53.1,49.5,19.4,21.1,37.2,34.5,39.2,33.6,51.2,47.5,38,35.3,71.9,-2.3,2008
Bradley,MVC,0.5526315789473685,111.1,100.7,.7570,52.3,50.8,20.2,21.7,31.2,33.4,36.4,37.8,49.3,49.2,37.4,36,70.4,-4.8,2008
Akron,MAC,0.6857142857142857,108.6,98.5,.7541,51.9,49.8,19.5,24.8,33.9,34.4,39.3,36.7,47.9,50.2,38.6,32.6,65.1,-2.9,2008
IUPUI,Sum,0.8666666666666667,114.3,103.7,.7532,57,50.2,18.1,21.4,33.5,34.6,36.7,33.8,54.1,49.5,41.8,34.1,62.7,-1.5,2008
Oral_Roberts,Sum,0.75,102.1,92.8,.7490,49.9,44.8,19.2,20.7,33.1,31.3,40.7,29.5,47.1,42.6,36.8,33.7,65.7,-0.9,2008
Duquesne,A10,0.5666666666666667,107.1,97.5,.7483,51.7,48.1,21.4,24.3,37.1,37.1,39.6,35.9,54.2,45.4,31.6,36,76.1,-4.8,2008
Missouri_St_,MVC,0.53125,107.3,97.6,.7479,50.7,49.6,22.3,22.6,35.2,32.5,34.8,35.2,48.6,46.6,36.6,36.5,66.9,-5.9,2008
Virginia,ACC,0.5151515151515151,110.4,100.6,.7449,50.3,52,19.4,18.8,36.1,28.6,35.3,33.2,47.6,50.1,36.6,36.7,70,-3.4,2008
Providence,BE,0.4838709677419355,108.9,99.2,.7445,51.5,50.3,21.1,22,36.6,36.4,32.3,37.1,48.9,49.4,37.6,34.7,67.7,-3,2008
George_Mason,CAA,0.6764705882352942,108.0,98.7,.7380,52.3,47.5,18.7,18.4,32,27.9,39.8,27,52.4,46.4,34.7,33.2,63.7,-3.6,2008
Miami_OH,MAC,0.5151515151515151,106.2,97.1,.7367,51.5,48.6,20,20.3,31.1,33.2,30.9,30.9,50.6,48,35.6,33.2,59.7,-4.2,2008
Texas_Tech,B12,0.5333333333333333,105.3,96.3,.7359,50.2,51,19.9,21.8,26.3,33,47.6,34.8,48.4,48.8,36.7,36.8,70,-2.2,2008
Charlotte,A10,0.5882352941176471,102.5,93.9,.7335,47.1,49,20.6,24.3,33.3,32.9,41.7,41.2,44,47.4,34.4,34.2,68.8,-2.6,2008
Georgia,SEC,0.5151515151515151,103.2,94.7,.7281,47.8,48.1,21.8,19,37.2,31.6,32.1,33.6,47.1,49.1,32.9,30.9,66.6,-3.9,2008
New_Mexico_St_,WAC,0.6176470588235294,106.8,98.5,.7152,52.4,49.6,21.9,21.6,41.2,29.4,39,33.2,52.5,46.7,34.8,36.3,71.4,-5.5,2008
San_Diego_St_,MWC,0.625,102.9,95.0,.7148,49.1,50.5,20.9,23.1,32.8,28,36.6,33,48.9,49.3,33,35.2,66.1,-2.9,2008
Western_Michigan,MAC,0.625,105.3,97.6,.7063,49.7,46.7,22,19.4,36.1,29.4,47.6,41.5,47,45.3,36.1,32.9,66,-4.6,2008
South_Carolina,SEC,0.4375,107.9,100.0,.7054,50.4,51.1,15.5,21.9,30.7,37.3,22.6,27.5,48.1,50.9,36.4,34.4,67.1,-6.3,2008
UCF,CUSA,0.5161290322580645,107.7,99.9,.7019,51.7,48.2,20.3,21.7,34.1,33.4,37.2,42.2,50.2,46.8,36.3,33.6,66.8,-6.6,2008
Boston_College,ACC,0.45161290322580644,107.7,99.9,.7018,50.9,49.6,22.5,17.9,35.4,35.7,39.7,28.8,49.6,48.5,36,34.6,66.1,-4.7,2008
Siena,MAAC,0.6764705882352942,106.8,99.2,.7008,50.5,51.8,15.5,23.9,31.4,36.5,36.3,25.4,48.1,49.5,37.4,37.6,69.2,-3.8,2008
LSU,SEC,0.43333333333333335,103.9,96.8,.6930,48.3,47.8,20.3,19.5,32,35.7,29.3,28,48.4,46.1,32.2,34.3,67.8,-7.1,2008
